hgnc_symbol,affected_region_count,chromosome_count,maximum_sample_count,total_annotation_records,present_in_cancer_gene_census,census_tier,role_in_cancer,tumour_types_somatic,tumour_types_germline,mutation_types
NOTCH1,158,1,11,158,TRUE,1,"oncogene, TSG, fusion","T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC",,"T, Mis, O"
WRN,158,1,6,158,TRUE,1,TSG,,"osteosarcoma, meningioma, other tumour types","Mis, N, F, S"
ATRX,157,1,22,157,TRUE,1,TSG,"pancreatic neuroendocrine tumours, paediatric GBM",,"Mis, F, N"
DNAH12,156,1,8,156,FALSE,,,,,
PBRM1,156,1,8,156,TRUE,1,TSG,"clear cell renal carcinoma, breast",,"Mis, N, F, S, D, O"
MSN,154,1,22,154,TRUE,1,fusion,ALCL,,T
RHOA,154,1,8,154,TRUE,1,"oncogene, TSG","diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma",,"Mis, F, O"
STAG2,154,1,22,154,TRUE,1,TSG,"bladder carcinoma, glioblastoma, melanoma, Ewing's sarcoma, myeloid neoplasms",,"Mis, N, F, S"
CACNA1D,153,1,8,153,TRUE,1,oncogene,adrenal aldosterone producing adenoma,,Mis
NCKIPSD,153,1,8,153,TRUE,2,fusion,ALL,,T
RPL10,153,1,22,153,TRUE,1,TSG,T-ALL,,Mis
SETD2,153,1,8,153,TRUE,1,TSG,clear cell renal carcinoma,,"N, F, S, Mis"
BAP1,152,1,8,152,TRUE,1,TSG,"uveal melanoma, breast, NSCLC, RCC","mesothelioma, skin and uveal melanoma, kidney cancer","N, Mis, F, S, O"
BRD3,149,1,11,149,TRUE,1,"oncogene, fusion",lethal midline carcinoma of young people,,T
RALGDS,149,1,11,149,TRUE,2,fusion,"PMBL, Hodgkin lymphoma,",,T
TSC1,149,1,11,149,TRUE,1,TSG,"renal cell carcinoma, bladder carcinoma","hamartoma, renal cell carcinoma, tuberous sclerosis tuber","D, Mis, N, F, S"
FHIT,148,1,8,148,TRUE,1,"TSG, fusion",pleomorphic salivary gland adenoma,,T
ABL1,147,1,11,147,TRUE,1,"oncogene, fusion","CML, ALL, T-ALL",,"T, Mis"
NUP214,147,1,11,147,TRUE,1,fusion,"AML, T-ALL",,T
APC,146,1,4,146,TRUE,1,TSG,"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","D, Mis, N, F, S"
CDKN2A,145,1,28,145,TRUE,1,TSG,"melanoma, multiple other tumour types","melanoma, pancreatic","D, Mis, N, F, S"
DNM2,145,1,4,145,TRUE,1,TSG,T-ALL,,"F, N, S, Mis, O"
FOXP1,145,1,8,145,TRUE,1,"oncogene, fusion",ALL,,T
ELL2,144,1,4,144,FALSE,,,,,
FNBP1,144,1,11,144,TRUE,2,fusion,AML,,T
KEAP1,144,1,4,144,TRUE,1,TSG,"NSCLC, breast carcinoma",,"Mis, N, F"
PPP6C,144,1,11,144,TRUE,1,TSG,melanoma,,"Mis, N"
AFF4,143,1,4,143,TRUE,1,"oncogene, fusion",ALL,,T
CNTRL,143,1,11,143,TRUE,1,fusion,"MPN, NHL",,T
MITF,143,1,8,143,TRUE,1,oncogene,melanoma,,A
SET,143,1,11,143,TRUE,1,"oncogene, fusion",T-ALL,,T
STK11,143,1,4,143,TRUE,1,TSG,"NSCLC, pancreatic","jejunal hamartoma, ovarian, testicular, pancreatic","D, Mis, N, F, S"
