sample,category,fragment_count,total_fragment_size_bp,total_fragment_size_mb
A_LTX225_SU_T1-R1,1,2,41793,0.041793
A_LTX225_SU_T1-R1,2,31,220251961,220.251961
A_LTX225_SU_T1-R1,3,7,44221436,44.221436
A_LTX225_SU_T1-R1,4,2,146137283,146.137283
A_LTX225_SU_T1-R1,5,0,0,0
A_LTX225_SU_T1-R1,6,0,0,0
A_LTX225_SU_T1-R1,7,0,0,0
A_LTX225_SU_T1-R1,8,0,0,0
A_LTX225_SU_T1-R2,1,0,0,0
A_LTX225_SU_T1-R2,2,27,167934774,167.934774
A_LTX225_SU_T1-R2,3,13,51340864,51.340864
A_LTX225_SU_T1-R2,4,0,0,0
A_LTX225_SU_T1-R2,5,2,146137283,146.137283
A_LTX225_SU_T1-R2,6,0,0,0
A_LTX225_SU_T1-R2,7,0,0,0
A_LTX225_SU_T1-R2,8,0,0,0
B_LTX027_SU_T1-R1,1,1,283126,0.283126
B_LTX027_SU_T1-R1,2,4,1842906,1.842906
B_LTX027_SU_T1-R1,3,3,2299460,2.29946
B_LTX027_SU_T1-R1,4,0,0,0
B_LTX027_SU_T1-R1,5,2,89113515,89.113515
B_LTX027_SU_T1-R1,6,1,54894888,54.894888
B_LTX027_SU_T1-R1,7,1,131401,0.131401
B_LTX027_SU_T1-R1,8,0,0,0
B_LTX027_SU_T1-R2,1,1,1111214,1.111214
B_LTX027_SU_T1-R2,2,3,269840,0.26984
B_LTX027_SU_T1-R2,3,5,7559727,7.559727
B_LTX027_SU_T1-R2,4,0,0,0
B_LTX027_SU_T1-R2,5,0,0,0
B_LTX027_SU_T1-R2,6,3,144008403,144.008403
B_LTX027_SU_T1-R2,7,1,131401,0.131401
B_LTX027_SU_T1-R2,8,0,0,0
B_LTX033_SU_T1-R1,1,1,20906,0.020906
B_LTX033_SU_T1-R1,2,16,153510605,153.510605
B_LTX033_SU_T1-R1,3,42,802748241,802.748241
B_LTX033_SU_T1-R1,4,14,188956737,188.956737
B_LTX033_SU_T1-R1,5,1,15135477,15.135477
B_LTX033_SU_T1-R1,6,1,112177,0.112177
B_LTX033_SU_T1-R1,7,1,27490070,27.49007
B_LTX033_SU_T1-R1,8,2,113497212,113.497212
B_LTX033_SU_T1-R2,1,1,129435,0.129435
B_LTX033_SU_T1-R2,2,18,140380804,140.380804
B_LTX033_SU_T1-R2,3,51,789723489,789.723489
B_LTX033_SU_T1-R2,4,25,225914501,225.914501
B_LTX033_SU_T1-R2,5,10,77703720,77.70372
B_LTX033_SU_T1-R2,6,2,43912387,43.912387
B_LTX033_SU_T1-R2,7,1,38683329,38.683329
B_LTX033_SU_T1-R2,8,1,3676101,3.676101
B_LTX033_SU_T1-R3,1,1,129435,0.129435
B_LTX033_SU_T1-R3,2,17,130754734,130.754734
B_LTX033_SU_T1-R3,3,42,677540514,677.540514
B_LTX033_SU_T1-R3,4,30,319196588,319.196588
B_LTX033_SU_T1-R3,5,12,103705047,103.705047
B_LTX033_SU_T1-R3,6,1,14987572,14.987572
B_LTX033_SU_T1-R3,7,1,34269784,34.269784
B_LTX033_SU_T1-R3,8,3,41139264,41.139264
B_LTX033_SU_T1-R4,1,1,4104,0.004104
B_LTX033_SU_T1-R4,2,14,126690175,126.690175
B_LTX033_SU_T1-R4,3,40,833616339,833.616339
B_LTX033_SU_T1-R4,4,16,170566493,170.566493
B_LTX033_SU_T1-R4,5,3,57849902,57.849902
B_LTX033_SU_T1-R4,6,2,46966285,46.966285
B_LTX033_SU_T1-R4,7,1,58577532,58.577532
B_LTX033_SU_T1-R4,8,1,38683329,38.683329
B_LTX034_SU_T1-R1,1,1,256,2.56e-4
B_LTX034_SU_T1-R1,2,2,1151247,1.151247
B_LTX034_SU_T1-R1,3,17,270828759,270.828759
B_LTX034_SU_T1-R1,4,2,874019,0.874019
B_LTX034_SU_T1-R1,5,1,77540,0.07754
B_LTX034_SU_T1-R1,6,0,0,0
B_LTX034_SU_T1-R1,7,0,0,0
B_LTX034_SU_T1-R1,8,0,0,0
B_LTX034_SU_T1-R2,1,1,256,2.56e-4
B_LTX034_SU_T1-R2,2,1,7,7e-6
B_LTX034_SU_T1-R2,3,19,269460396,269.460396
B_LTX034_SU_T1-R2,4,1,875321,0.875321
B_LTX034_SU_T1-R2,5,0,0,0
B_LTX034_SU_T1-R2,6,0,0,0
B_LTX034_SU_T1-R2,7,1,63706,0.063706
B_LTX034_SU_T1-R2,8,0,0,0
B_LTX038_SU_T1-R1,1,5,2671789,2.671789
B_LTX038_SU_T1-R1,2,59,1010818106,1010.818106
B_LTX038_SU_T1-R1,3,6,71385638,71.385638
B_LTX038_SU_T1-R1,4,6,172805043,172.805043
B_LTX038_SU_T1-R1,5,0,0,0
B_LTX038_SU_T1-R1,6,3,11606619,11.606619
B_LTX038_SU_T1-R1,7,0,0,0
B_LTX038_SU_T1-R1,8,0,0,0
B_LTX038_SU_T1-R2,1,5,2669197,2.669197
B_LTX038_SU_T1-R2,2,63,1040114721,1040.114721
B_LTX038_SU_T1-R2,3,10,221127009,221.127009
B_LTX038_SU_T1-R2,4,4,28588805,28.588805
B_LTX038_SU_T1-R2,5,0,0,0
B_LTX038_SU_T1-R2,6,3,11275964,11.275964
B_LTX038_SU_T1-R2,7,0,0,0
B_LTX038_SU_T1-R2,8,0,0,0
B_LTX038_SU_T1-R3,1,2,764050,0.76405
B_LTX038_SU_T1-R3,2,41,864614491,864.614491
B_LTX038_SU_T1-R3,3,7,79570902,79.570902
B_LTX038_SU_T1-R3,4,4,154977776,154.977776
B_LTX038_SU_T1-R3,5,0,0,0
B_LTX038_SU_T1-R3,6,0,0,0
B_LTX038_SU_T1-R3,7,0,0,0
B_LTX038_SU_T1-R3,8,0,0,0
B_LTX038_SU_T1-R4,1,6,6100383,6.100383
B_LTX038_SU_T1-R4,2,73,1170612149,1170.612149
B_LTX038_SU_T1-R4,3,11,52636040,52.63604
B_LTX038_SU_T1-R4,4,3,152665788,152.665788
B_LTX038_SU_T1-R4,5,1,2438454,2.438454
B_LTX038_SU_T1-R4,6,0,0,0
B_LTX038_SU_T1-R4,7,0,0,0
B_LTX038_SU_T1-R4,8,0,0,0
B_LTX038_SU_T1-R5,1,2,2414936,2.414936
B_LTX038_SU_T1-R5,2,51,958025826,958.025826
B_LTX038_SU_T1-R5,3,9,106690628,106.690628
B_LTX038_SU_T1-R5,4,4,146027182,146.027182
B_LTX038_SU_T1-R5,5,0,0,0
B_LTX038_SU_T1-R5,6,0,0,0
B_LTX038_SU_T1-R5,7,0,0,0
B_LTX038_SU_T1-R5,8,0,0,0
B_LTX038_SU_T1-R6,1,5,4286620,4.28662
B_LTX038_SU_T1-R6,2,42,939553563,939.553563
B_LTX038_SU_T1-R6,3,14,186038198,186.038198
B_LTX038_SU_T1-R6,4,5,165799021,165.799021
B_LTX038_SU_T1-R6,5,1,2438454,2.438454
B_LTX038_SU_T1-R6,6,0,0,0
B_LTX038_SU_T1-R6,7,0,0,0
B_LTX038_SU_T1-R6,8,0,0,0
B_LTX038_SU_T1-R7,1,8,8825518,8.825518
B_LTX038_SU_T1-R7,2,12,179739786,179.739786
B_LTX038_SU_T1-R7,3,14,263111314,263.111314
B_LTX038_SU_T1-R7,4,3,45701479,45.701479
